player_name,season,week,yahoo_proj_ppr,actual_ppr,model_proj_ppr
Bijan Robinson,2025,1,18.62,25.4,17.263105
Bijan Robinson,2025,2,17.14,20.8,18.455452
Bijan Robinson,2025,3,19.46,16.1,18.788239
Bijan Robinson,2025,4,18.89,29.1,17.651962
Bijan Robinson,2025,6,19.11,26.8,17.278847
Bijan Robinson,2025,7,18.25,21.2,18.637756
Bijan Robinson,2025,8,21.53,6.8,18.405296
Bijan Robinson,2025,9,17.7,17.6,18.113857
Bijan Robinson,2025,10,18.9,10.8,17.862875
Josh Downs,2025,1,11.01,3.2,8.345345
Josh Downs,2025,2,8.78,11.1,8.561817
Josh Downs,2025,3,9.27,5.4,9.536475
Josh Downs,2025,4,9.77,6.4,9.085769
Josh Downs,2025,5,9.67,11.4,9.401809
Josh Downs,2025,6,9.67,16.2,10.709336
Josh Downs,2025,8,9.58,12.9,10.39185
Josh Downs,2025,9,9.61,16.7,10.415877
Josh Downs,2025,10,10.45,1.3,10.269599
James Cook III,2025,1,13.8,21.2,14.394526
James Cook III,2025,2,14,27.5,14.847996
James Cook III,2025,3,14.8,21.8,15.914097
James Cook III,2025,4,16.5,23.5,16.001812
James Cook III,2025,5,15.6,4.9,15.408125
James Cook III,2025,6,15.5,8.7,14.686137
James Cook III,2025,8,15.3,34.6,14.315776
James Cook III,2025,9,14.8,14.5,14.432143
James Cook III,2025,10,16.7,11.7,14.064816
Drake London,2025,1,18.4,13.5,14.681837
Drake London,2025,2,18.1,6.9,14.981305
Drake London,2025,3,16.9,10.5,14.39486
Drake London,2025,4,16.2,26,13.221629
Drake London,2025,6,18.4,32.8,14.376345
Drake London,2025,7,17.1,8.2,15.396213
Drake London,2025,9,15.8,39.8,15.11558
Drake London,2025,10,18.6,8.2,16.212143
David Montgomery,2025,1,10.6,8.3,9.67008
David Montgomery,2025,2,12.3,13.1,11.91843
David Montgomery,2025,3,10.5,30.1,10.293618
David Montgomery,2025,4,10.9,1.2,12.688567
David Montgomery,2025,5,10.4,18.2,10.029319
David Montgomery,2025,6,9.9,8.1,10.518812
David Montgomery,2025,7,10.2,5.9,9.896321
David Montgomery,2025,9,10.4,12,9.726548
David Montgomery,2025,10,11.1,10.1,9.508555
Jordan Addison,2025,4,9.38,16.4,10.675724
Jordan Addison,2025,5,9.5,15.1,11.926469
Jordan Addison,2025,7,10.6,22.8,12.36859
Jordan Addison,2025,8,11.7,11.6,13.438413
Jordan Addison,2025,9,11.3,8.4,14.15441
Jordan Addison,2025,10,12.5,6.5,14.075143
Zach Charbonnet,2025,1,9.2,10.7,8.211586
Zach Charbonnet,2025,2,9.7,1,8.1514
Zach Charbonnet,2025,4,9,12.4,8.610332
Zach Charbonnet,2025,5,8.75,11.8,9.994687
Zach Charbonnet,2025,6,9.1,4.7,8.552987
Zach Charbonnet,2025,7,8.9,19.5,7.431645
Zach Charbonnet,2025,9,9.44,5.6,8.723018
Zach Charbonnet,2025,10,10.01,14.3,9.237428
Breece Hall,2025,1,13.5,17.5,13.292485
Breece Hall,2025,2,14.5,5.8,13.11671
Breece Hall,2025,3,13.7,9.2,10.706813
Breece Hall,2025,4,12.7,16.1,11.160666
Breece Hall,2025,5,15.76,19.5,13.387755
Breece Hall,2025,6,14.53,5.9,11.561744
Breece Hall,2025,7,16.6,7.2,11.480014
Breece Hall,2025,8,14.9,33.86,14.778542
Breece Hall,2025,10,15.7,19.5,12.012638
Jaylen Waddle,2025,1,13.87,7,8.763128
Jaylen Waddle,2025,2,13.7,17.8,8.951137
Jaylen Waddle,2025,3,13.2,14.9,10.101157
Jaylen Waddle,2025,4,12.07,7.8,10.80297
Jaylen Waddle,2025,5,14.74,24,12.175517
Jaylen Waddle,2025,6,15.28,14.8,13.132518
Jaylen Waddle,2025,7,14.4,2.5,11.581709
Jaylen Waddle,2025,8,14.95,20.9,12.536174
Jaylen Waddle,2025,9,15.84,14.2,13.553028
Jaylen Waddle,2025,10,16.93,19.4,13.705781
Bo Nix,2025,1,18.14,9.84,16.674438
Bo Nix,2025,2,17.88,21.24,16.161829
Bo Nix,2025,3,17.12,13.42,16.544954
Bo Nix,2025,4,18,27.74,16.912001
Bo Nix,2025,5,15.65,17.88,16.255804
Bo Nix,2025,6,16.54,13.36,15.770568
Bo Nix,2025,7,17.43,39.96,15.888026
Bo Nix,2025,8,19.08,24.78,16.701263
Bo Nix,2025,9,16.14,19.52,16.660809
Bo Nix,2025,10,19.05,7.8,16.408815
