player_name,mae_yahoo,mae_model,n_samples
Bijan Robinson,6.397777557373047,5.875904560089111,9
Bo Nix,7.336999416351318,6.851904392242432,10
Breece Hall,7.236667156219482,6.510354995727539,9
David Montgomery,5.433333396911621,5.523824214935303,9
Drake London,11.25,10.031599998474121,8
James Cook III,8.55555534362793,7.445720195770264,9
Jaylen Waddle,4.863999843597412,4.969249248504639,10
Jordan Addison,5.636666774749756,4.916196823120117,6
Josh Downs,5.021111488342285,4.742236614227295,9
Zach Charbonnet,4.972499847412109,5.167716026306152,8
